Match_no,Ballnumber,Inningno,Over,Outcome,Batter,Bowler,Comment,Score,runs
14,83,1,13,4,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, four,",4,4
14,84,1,13,0,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, no run,",0,0
14,85,1,13,1,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, 1 run,",1,1
14,86,1,13,0,nathan ellis,Umran Malik,"umran malik to nathan ellis, no run,",0,0
14,87,1,13,0,nathan ellis,Umran Malik,"umran malik to nathan ellis, no run,",0,0
14,88,1,13,0,nathan ellis,Umran Malik,"umran malik to nathan ellis, no run,",0,0
14,89,1,14,0,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, no run,",0,0
14,90,1,14,0,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, no run,",0,0
14,91,1,14,0,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, no run,",0,0
14,92,1,14,4,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, four,",4,4
14,93,1,14,1,shikhar dhawan,Mayank Markande,"mayank markande to shikhar dhawan, 1 run,",1,1
14,94,1,14,w,nathan ellis,Mayank Markande,"mayank markande to nathan ellis, no run,                           wicket - b m markande batsmen out 0(5)",0,0
14,95,1,15,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,96,1,15,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,97,1,15,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,98,1,15,6,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, six,",6,6
14,99,1,15,6,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, six,",6,6
14,100,1,15,1,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, 1 run,",1,1
14,101,1,16,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,102,1,16,4,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, four,",4,4
14,103,1,16,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,104,1,16,1,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, 1 run,",1,1
14,105,1,16,1,mohit rathee,Bhuvneshwar Kumar,"bhuvneshwar kumar to mohit rathee, 1 run,",1,1
14,106,1,16,1wd,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, 1 wide,",1,0
14,107,1,16,1lb,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, 1 leg bye,",1,0
14,108,1,17,0,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, no run,",0,0
14,109,1,17,6,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, six,",6,6
14,110,1,17,4,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, four,",4,4
14,111,1,17,0,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, no run,",0,0
14,112,1,17,6,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, six,",6,6
14,113,1,17,1,shikhar dhawan,Umran Malik,"umran malik to shikhar dhawan, 1 run,",1,1
14,114,1,18,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,115,1,18,0,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, no run,",0,0
14,116,1,18,4,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, four,",4,4
14,117,1,18,4,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, four,",4,4
14,118,1,18,1,shikhar dhawan,Bhuvneshwar Kumar,"bhuvneshwar kumar to shikhar dhawan, 1 run,",1,1
14,119,1,18,0,mohit rathee,Bhuvneshwar Kumar,"bhuvneshwar kumar to mohit rathee, no run,",0,0
14,120,1,19,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,121,1,19,2,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, 2 runs,",2,2
14,122,1,19,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,123,1,19,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,124,1,19,0,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, no run,",0,0
14,125,1,19,6,shikhar dhawan,T Natarajan,"t natarajan to shikhar dhawan, six,",6,6
14,1,2,0,4,harry brook,Sam Curran,"sam curran to harry brook, four,",4,4
14,2,2,0,0,harry brook,Sam Curran,"sam curran to harry brook, no run,",0,0
14,3,2,0,0,harry brook,Sam Curran,"sam curran to harry brook, no run,",0,0
14,4,2,0,0,harry brook,Sam Curran,"sam curran to harry brook, no run,",0,0
14,5,2,0,0,harry brook,Sam Curran,"sam curran to harry brook, no run,",0,0
14,6,2,0,0,harry brook,Sam Curran,"sam curran to harry brook, no run,",0,0
14,7,2,1,0,mayank agarwal,Arshdeep Singh,"arshdeep singh to mayank agarwal, no run,",0,0
14,8,2,1,4,mayank agarwal,Arshdeep Singh,"arshdeep singh to mayank agarwal, four,",4,4
14,9,2,1,0,mayank agarwal,Arshdeep Singh,"arshdeep singh to mayank agarwal, no run,",0,0
14,10,2,1,0,mayank agarwal,Arshdeep Singh,"arshdeep singh to mayank agarwal, no run,",0,0
14,11,2,1,4,mayank agarwal,Arshdeep Singh,"arshdeep singh to mayank agarwal, four,",4,4
14,12,2,1,1,mayank agarwal,Arshdeep Singh,"arshdeep singh to mayank agarwal, 1 run,",1,1
14,13,2,2,0,mayank agarwal,Harpreet Brar,"harpreet brar to mayank agarwal, no run,",0,0
14,14,2,2,4,mayank agarwal,Harpreet Brar,"harpreet brar to mayank agarwal, four,",4,4
14,15,2,2,1,mayank agarwal,Harpreet Brar,"harpreet brar to mayank agarwal, 1 run,",1,1
14,16,2,2,0,harry brook,Harpreet Brar,"harpreet brar to harry brook, no run,",0,0
14,17,2,2,0,harry brook,Harpreet Brar,"harpreet brar to harry brook, no run,",0,0
14,18,2,2,1,harry brook,Harpreet Brar,"harpreet brar to harry brook, 1 run,",1,1
14,19,2,3,4,harry brook,Arshdeep Singh,"arshdeep singh to harry brook, four,",4,4
14,20,2,3,4,harry brook,Arshdeep Singh,"arshdeep singh to harry brook, four,",4,4
14,21,2,3,0,harry brook,Arshdeep Singh,"arshdeep singh to harry brook, no run,",0,0
14,22,2,3,0,harry brook,Arshdeep Singh,"arshdeep singh to harry brook, no run,",0,0
14,23,2,3,w,harry brook,Arshdeep Singh,"arshdeep singh to harry brook, no run,                           wicket - b arshdeep singh batsmen out 13(14)",0,0
14,24,2,3,0,rahul tripathi,Arshdeep Singh,"arshdeep singh to rahul tripathi, no run,",0,0
14,25,2,4,0,mayank agarwal,Nathan Ellis,"nathan ellis to mayank agarwal, no run,",0,0
14,26,2,4,0,mayank agarwal,Nathan Ellis,"nathan ellis to mayank agarwal, no run,",0,0
14,27,2,4,1,mayank agarwal,Nathan Ellis,"nathan ellis to mayank agarwal, 1 run,",1,1
14,28,2,4,1,rahul tripathi,Nathan Ellis,"nathan ellis to rahul tripathi, 1 run,",1,1
14,29,2,4,1,mayank agarwal,Nathan Ellis,"nathan ellis to mayank agarwal, 1 run,",1,1
14,30,2,4,0,rahul tripathi,Nathan Ellis,"nathan ellis to rahul tripathi, no run,",0,0
14,31,2,5,0,mayank agarwal,Sam Curran,"sam curran to mayank agarwal, no run,",0,0
14,32,2,5,1,mayank agarwal,Sam Curran,"sam curran to mayank agarwal, 1 run,",1,1
14,33,2,5,1,rahul tripathi,Sam Curran,"sam curran to rahul tripathi, 1 run,",1,1
14,34,2,5,1,mayank agarwal,Sam Curran,"sam curran to mayank agarwal, 1 run,",1,1
14,35,2,5,0,rahul tripathi,Sam Curran,"sam curran to rahul tripathi, no run,",0,0
14,36,2,5,1,rahul tripathi,Sam Curran,"sam curran to rahul tripathi, 1 run,",1,1
14,37,2,6,0,rahul tripathi,Rahul Chahar,"rahul chahar to rahul tripathi, no run,",0,0
